Volume,Volume Weighted,Open,Close,High,Low,Timestamp,Number of Trades
146661387.0,147.5981,147.64,149.84,150.6414,144.84,2022-09-28 00:00:00-04:00,1142717
128138237.0,142.9002,146.1,142.48,146.72,140.68,2022-09-29 00:00:00-04:00,1067281
124910274.0,140.3818,141.28,138.2,143.1,138.0,2022-09-30 00:00:00-04:00,947003
114311663.0,141.2135,138.21,142.45,143.07,137.685,2022-10-03 00:00:00-04:00,838786
87780064.0,145.4907,145.03,146.1,146.22,144.26,2022-10-04 00:00:00-04:00,687504
79269968.0,145.2495,144.075,146.4,147.38,143.01,2022-10-05 00:00:00-04:00,605861
68308669.0,146.0741,145.81,145.43,147.54,145.22,2022-10-06 00:00:00-04:00,538671
85925559.0,140.7932,142.54,140.09,143.1,139.445,2022-10-07 00:00:00-04:00,666459
74899002.0,140.1978,140.42,140.42,141.89,138.5729,2022-10-10 00:00:00-04:00,620863
77001872.0,139.5393,139.9,138.98,141.35,138.22,2022-10-11 00:00:00-04:00,608882
69933744.0,139.0968,139.13,138.34,140.36,138.16,2022-10-12 00:00:00-04:00,553185
113223975.0,139.7607,134.99,142.99,143.59,134.37,2022-10-13 00:00:00-04:00,874139
88597969.0,139.9229,144.31,138.38,144.52,138.19,2022-10-14 00:00:00-04:00,689680
85250639.0,141.9529,141.065,142.41,142.9,140.27,2022-10-17 00:00:00-04:00,634583
99130632.0,144.0619,145.49,143.75,146.7,140.61,2022-10-18 00:00:00-04:00,785416
61757790.0,143.4441,141.69,143.86,144.9492,141.5,2022-10-19 00:00:00-04:00,511348
64521989.0,144.2072,143.02,143.39,145.89,142.65,2022-10-20 00:00:00-04:00,517760
86548459.0,145.5191,142.87,147.27,147.8479,142.649,2022-10-21 00:00:00-04:00,621571
75981918.0,148.3743,147.185,149.45,150.23,146.0,2022-10-24 00:00:00-04:00,653020
74682290.0,151.4347,150.09,152.34,152.49,149.36,2022-10-25 00:00:00-04:00,581421
87883672.0,150.0488,150.96,149.35,151.99,148.04,2022-10-26 00:00:00-04:00,694793
109161970.0,145.3119,148.07,144.8,149.046,144.13,2022-10-27 00:00:00-04:00,944053
164762371.0,154.5822,148.2,155.74,157.5,147.82,2022-10-28 00:00:00-04:00,1228075
97932271.0,153.2791,153.155,153.34,154.24,151.92,2022-10-31 00:00:00-04:00,726843
80379345.0,150.9807,155.08,150.65,155.45,149.13,2022-11-01 00:00:00-04:00,650595
93604623.0,148.2186,148.945,145.03,152.17,145.0,2022-11-02 00:00:00-04:00,788400
97917166.0,140.1145,142.06,138.88,142.8,138.75,2022-11-03 00:00:00-04:00,871800
140494796.0,137.3583,142.09,138.38,142.67,134.38,2022-11-04 00:00:00-04:00,1161631
83364228.0,137.4671,137.11,138.92,139.145,135.671,2022-11-07 00:00:00-05:00,715005
89908477.0,139.5702,140.41,139.5,141.43,137.49,2022-11-08 00:00:00-05:00,637312
74903262.0,135.9897,138.5,134.87,138.55,134.5933,2022-11-09 00:00:00-05:00,632982
118854028.0,144.1322,141.24,146.87,146.87,139.5,2022-11-10 00:00:00-05:00,875048
93966273.0,148.1929,145.82,149.7,150.01,144.37,2022-11-11 00:00:00-05:00,742241
73374114.0,148.7236,148.97,148.28,150.28,147.43,2022-11-14 00:00:00-05:00,576289
89868332.0,151.2356,152.215,150.04,153.59,148.5613,2022-11-15 00:00:00-05:00,703669
64218266.0,148.6596,149.13,148.79,149.87,147.29,2022-11-16 00:00:00-05:00,472247
80389400.0,149.706,146.43,150.72,151.48,146.15,2022-11-17 00:00:00-05:00,563714
74829573.0,151.1944,152.305,151.29,152.7,149.97,2022-11-18 00:00:00-05:00,514103
58724070.0,148.4817,150.16,148.01,150.37,147.715,2022-11-21 00:00:00-05:00,504777
51804132.0,149.1957,148.13,150.18,150.42,146.925,2022-11-22 00:00:00-05:00,405185
58283895.0,150.7871,149.45,151.07,151.83,149.34,2022-11-23 00:00:00-05:00,444423
35195860.0,148.1668,148.305,148.11,148.88,147.12,2022-11-25 00:00:00-05:00,319570
69346522.0,144.782,145.14,144.22,146.64,143.38,2022-11-28 00:00:00-05:00,614357
83736803.0,142.0517,144.29,141.17,144.81,140.355,2022-11-29 00:00:00-05:00,713280
111314880.0,145.1721,141.395,148.03,148.72,140.55,2022-11-30 00:00:00-05:00,707647
71250416.0,148.105,148.21,148.31,149.13,146.61,2022-12-01 00:00:00-05:00,525985
65438446.0,146.8594,145.96,147.81,148.0,145.65,2022-12-02 00:00:00-05:00,464550
68826442.0,147.6384,147.77,146.63,150.9199,145.77,2022-12-05 00:00:00-05:00,586791
64727186.0,143.7902,147.075,142.91,147.3,141.92,2022-12-06 00:00:00-05:00,537304
69721094.0,141.1601,142.19,140.94,143.37,140.0,2022-12-07 00:00:00-05:00,565392
62128338.0,142.5153,142.36,142.65,143.52,141.1,2022-12-08 00:00:00-05:00,456121
76084511.0,143.2204,142.34,142.16,145.57,140.9,2022-12-09 00:00:00-05:00,530236
70462654.0,143.0063,142.7,144.49,144.5,141.06,2022-12-12 00:00:00-05:00,492710
93486161.0,146.5933,149.5,145.47,149.9692,144.24,2022-12-13 00:00:00-05:00,706525
82211182.0,144.2495,145.35,143.21,146.655,141.16,2022-12-14 00:00:00-05:00,597870
98463907.0,137.6359,141.11,136.5,141.8,136.025,2022-12-15 00:00:00-05:00,879346
160063600.0,134.9476,136.685,134.51,137.65,133.73,2022-12-16 00:00:00-05:00,821076
79592614.0,132.4667,135.11,132.37,135.2,131.32,2022-12-19 00:00:00-05:00,705820
77430718.0,131.8489,131.39,132.3,133.25,129.89,2022-12-20 00:00:00-05:00,640693
85927993.0,135.315,132.98,135.45,136.81,132.75,2022-12-21 00:00:00-05:00,588684
77696108.0,131.8997,134.352,132.23,134.56,130.3,2022-12-22 00:00:00-05:00,643294
63802893.0,131.1521,130.92,131.86,132.415,129.64,2022-12-23 00:00:00-05:00,541274
69007830.0,129.9522,131.38,130.03,131.41,128.72,2022-12-27 00:00:00-05:00,608331
85438391.0,127.5918,129.67,126.04,131.0275,125.87,2022-12-28 00:00:00-05:00,762246
75501810.0,129.4879,127.99,129.61,130.4814,127.73,2022-12-29 00:00:00-05:00,598204
76204209.0,128.8013,128.41,129.93,129.95,127.43,2022-12-30 00:00:00-05:00,592655
112117471.0,125.725,130.28,125.07,130.9,124.17,2023-01-03 00:00:00-05:00,1021065
89100633.0,126.6464,126.89,126.36,128.6557,125.08,2023-01-04 00:00:00-05:00,770042
80716808.0,126.0883,127.13,125.02,127.77,124.76,2023-01-05 00:00:00-05:00,665458
87754715.0,128.1982,126.01,129.62,130.29,124.89,2023-01-06 00:00:00-05:00,711520
70790813.0,131.6292,130.465,130.15,133.41,129.89,2023-01-09 00:00:00-05:00,645365
63896155.0,129.822,130.26,130.73,131.2636,128.12,2023-01-10 00:00:00-05:00,554940
69458949.0,132.3081,131.25,133.49,133.51,130.46,2023-01-11 00:00:00-05:00,561278
71379648.0,133.171,133.88,133.41,134.26,131.44,2023-01-12 00:00:00-05:00,635331
57809719.0,133.6773,132.03,134.76,134.92,131.66,2023-01-13 00:00:00-05:00,537385
63612627.0,135.7587,134.83,135.94,137.29,134.13,2023-01-17 00:00:00-05:00,595831
69672800.0,136.3316,136.815,135.21,138.61,135.03,2023-01-18 00:00:00-05:00,578304
58280413.0,134.9653,134.08,135.27,136.25,133.77,2023-01-19 00:00:00-05:00,491674
80200655.0,136.3762,135.28,137.87,138.02,134.22,2023-01-20 00:00:00-05:00,552230
81760313.0,141.2116,138.12,141.11,143.315,137.9,2023-01-23 00:00:00-05:00,719288
66435142.0,142.0507,140.305,142.53,143.16,140.3,2023-01-24 00:00:00-05:00,498679
65799349.0,140.7526,140.89,141.86,142.43,138.81,2023-01-25 00:00:00-05:00,536505
54105068.0,143.3429,143.17,143.96,144.25,141.9,2023-01-26 00:00:00-05:00,472135
70547743.0,145.8365,143.155,145.93,147.23,143.08,2023-01-27 00:00:00-05:00,560022
64015274.0,143.6524,144.955,143.0,145.55,142.85,2023-01-30 00:00:00-05:00,551111
65874459.0,143.6473,142.7,144.29,144.34,142.28,2023-01-31 00:00:00-05:00,468170
77663426.0,143.8723,143.97,145.43,146.61,141.32,2023-02-01 00:00:00-05:00,693374
118338980.0,149.3764,148.9,150.82,151.18,148.17,2023-02-02 00:00:00-05:00,996203
154338835.0,154.2437,148.03,154.5,157.38,147.83,2023-02-03 00:00:00-05:00,1141350
69771906.0,152.0939,152.575,151.73,153.1,150.78,2023-02-06 00:00:00-05:00,583517
83322551.0,153.4202,150.64,154.65,155.23,150.64,2023-02-07 00:00:00-05:00,661767
63620079.0,152.3636,153.88,151.92,154.58,151.168,2023-02-08 00:00:00-05:00,524140
55994243.0,152.2769,153.775,150.87,154.33,150.42,2023-02-09 00:00:00-05:00,471973
57388108.0,150.4054,149.46,151.01,151.3401,149.22,2023-02-10 00:00:00-05:00,443405
62199013.0,153.231,150.952,153.85,154.26,150.92,2023-02-13 00:00:00-05:00,506668
61664023.0,152.5956,152.12,153.2,153.77,150.86,2023-02-14 00:00:00-05:00,528566
65665252.0,154.4536,153.11,155.33,155.5,152.88,2023-02-15 00:00:00-05:00,520574
68167942.0,154.7143,153.51,153.71,156.33,153.3475,2023-02-16 00:00:00-05:00,516187
59105618.0,152.0451,152.35,152.55,153.0,150.85,2023-02-17 00:00:00-05:00,468580
58217230.0,149.3501,150.2,148.48,151.3,148.405,2023-02-21 00:00:00-05:00,509342
51008155.0,148.5494,148.87,148.91,149.95,147.16,2023-02-22 00:00:00-05:00,429775
48392049.0,148.8407,150.09,149.4,150.34,147.24,2023-02-23 00:00:00-05:00,425159
55469606.0,146.3861,147.11,146.71,147.19,145.7202,2023-02-24 00:00:00-05:00,472221
44998470.0,148.1344,147.71,147.92,149.17,147.45,2023-02-27 00:00:00-05:00,418069
50546998.0,147.7996,147.05,147.41,149.08,146.83,2023-02-28 00:00:00-05:00,383779
55478991.0,145.868,146.83,145.31,147.2285,145.01,2023-03-01 00:00:00-05:00,461613
52279761.0,145.1652,144.38,145.91,146.71,143.9,2023-03-02 00:00:00-05:00,413238
70725339.0,150.0304,148.045,151.03,151.11,147.33,2023-03-03 00:00:00-05:00,558706
87558028.0,154.6895,153.785,153.83,156.3,153.46,2023-03-06 00:00:00-05:00,691990
56136378.0,152.2768,153.7,151.6,154.0299,151.13,2023-03-07 00:00:00-05:00,496631
47204791.0,152.6973,152.81,152.87,153.47,151.83,2023-03-08 00:00:00-05:00,405203
53833122.0,152.4689,153.559,150.59,154.535,150.225,2023-03-09 00:00:00-05:00,480909
68559600.0,149.0716,150.21,148.5,150.94,147.6096,2023-03-10 00:00:00-05:00,611457
84457122.0,151.1835,147.805,150.47,153.14,147.7,2023-03-13 00:00:00-04:00,760660
72045893.0,152.1061,151.28,152.59,153.4,150.1,2023-03-14 00:00:00-04:00,565196
77167866.0,151.7861,151.19,152.99,153.245,149.92,2023-03-15 00:00:00-04:00,703116
76206919.0,154.813,152.16,155.85,156.46,151.64,2023-03-16 00:00:00-04:00,676097
98944633.0,155.3402,156.08,155.0,156.74,154.28,2023-03-17 00:00:00-04:00,615778
72711415.0,156.6059,155.07,157.4,157.82,154.15,2023-03-20 00:00:00-04:00,628984
73938285.0,158.3406,157.32,159.28,159.4,156.54,2023-03-21 00:00:00-04:00,590982
75349311.0,159.6832,159.3,157.83,162.14,157.81,2023-03-22 00:00:00-04:00,656865
67482060.0,159.5685,158.83,158.93,161.5501,157.68,2023-03-23 00:00:00-04:00,614268
59006343.0,159.2417,158.86,160.25,160.34,157.85,2023-03-24 00:00:00-04:00,517531
52390266.0,159.0188,159.94,158.28,160.77,157.87,2023-03-27 00:00:00-04:00,518436
45992152.0,156.9785,157.97,157.65,158.49,155.98,2023-03-28 00:00:00-04:00,432447
51305691.0,160.216,159.37,160.77,161.05,159.35,2023-03-29 00:00:00-04:00,472077
49210289.0,162.0209,161.53,162.36,162.47,161.271,2023-03-30 00:00:00-04:00,456152
68749792.0,164.0421,162.44,164.9,165.0,161.91,2023-03-31 00:00:00-04:00,574409
56976187.0,165.3487,164.27,166.17,166.29,164.22,2023-04-03 00:00:00-04:00,568686
46278295.0,165.9131,166.595,165.63,166.84,165.11,2023-04-04 00:00:00-04:00,456306
51511744.0,163.4912,164.74,163.76,165.05,161.8,2023-04-05 00:00:00-04:00,533621
45390123.0,164.0257,162.43,164.66,164.9584,162.0,2023-04-06 00:00:00-04:00,446212
47670382.0,161.2628,161.42,162.03,162.03,160.08,2023-04-10 00:00:00-04:00,563913
47494217.0,161.1314,162.35,160.8,162.36,160.51,2023-04-11 00:00:00-04:00,490479
50133062.0,160.8845,161.22,160.1,162.06,159.78,2023-04-12 00:00:00-04:00,514261
68418649.0,164.3531,161.63,165.56,165.8,161.42,2023-04-13 00:00:00-04:00,595709
49314480.0,165.0394,164.59,165.21,166.32,163.82,2023-04-14 00:00:00-04:00,489551
41516217.0,164.8044,165.09,165.23,165.39,164.03,2023-04-17 00:00:00-04:00,483388
49915508.0,166.3535,166.1,166.47,167.41,165.65,2023-04-18 00:00:00-04:00,494642
47621166.0,167.2806,165.8,167.63,168.16,165.54,2023-04-19 00:00:00-04:00,473866
52456377.0,166.779,166.09,166.65,167.87,165.56,2023-04-20 00:00:00-04:00,493153
57736141.0,165.0754,165.05,165.02,166.4521,164.49,2023-04-21 00:00:00-04:00,520279
41449581.0,164.9397,165.0,165.33,165.6,163.89,2023-04-24 00:00:00-04:00,459499
48652863.0,164.6479,165.19,163.77,166.305,163.73,2023-04-25 00:00:00-04:00,501548
45487296.0,163.9084,163.055,163.76,165.28,162.8,2023-04-26 00:00:00-04:00,493403
64898729.0,167.3197,165.19,168.41,168.56,165.19,2023-04-27 00:00:00-04:00,575981
55275851.0,168.9479,168.49,169.68,169.85,167.8801,2023-04-28 00:00:00-04:00,527763
52424936.0,169.6586,169.28,169.59,170.45,168.64,2023-05-01 00:00:00-04:00,540745
48425696.0,168.6978,170.09,168.54,170.35,167.54,2023-05-02 00:00:00-04:00,509755
65126998.0,169.013,169.5,167.45,170.92,167.16,2023-05-03 00:00:00-04:00,610052
81225673.0,166.0983,164.89,165.79,167.04,164.31,2023-05-04 00:00:00-04:00,832121
113402971.0,173.3116,170.975,173.57,174.3,170.76,2023-05-05 00:00:00-04:00,915977
55962634.0,173.321,172.48,173.5,173.85,172.11,2023-05-08 00:00:00-04:00,563138
45326874.0,172.3162,173.05,171.77,173.54,171.6,2023-05-09 00:00:00-04:00,456209
53724501.0,173.1737,173.02,173.555,174.03,171.9,2023-05-10 00:00:00-04:00,511486
49473076.0,173.4903,173.85,173.75,174.59,172.17,2023-05-11 00:00:00-04:00,501955
45533138.0,172.3696,173.62,172.57,174.06,171.0,2023-05-12 00:00:00-04:00,490533
37264259.0,172.1109,173.16,172.07,173.21,171.47,2023-05-15 00:00:00-04:00,444785
42110293.0,172.2781,171.99,172.07,173.1383,171.7991,2023-05-16 00:00:00-04:00,436165
57934404.0,171.85,171.71,172.69,172.925,170.4201,2023-05-17 00:00:00-04:00,554940
65496657.0,174.3014,173.0,175.05,175.24,172.58,2023-05-18 00:00:00-04:00,595692
55525641.0,175.5191,176.39,175.16,176.39,174.94,2023-05-19 00:00:00-04:00,532731
43570932.0,174.1828,173.98,174.2,174.71,173.45,2023-05-22 00:00:00-04:00,526393
50745163.0,172.1908,173.13,171.56,173.3794,171.275,2023-05-23 00:00:00-04:00,535091
43711588.0,171.5088,171.09,171.84,172.4183,170.52,2023-05-24 00:00:00-04:00,492275
55889523.0,172.8818,172.41,172.99,173.895,171.69,2023-05-25 00:00:00-04:00,534909
54834975.0,175.1454,173.32,175.43,175.77,173.11,2023-05-26 00:00:00-04:00,529918
55963954.0,177.4489,176.96,177.3,178.99,176.57,2023-05-30 00:00:00-04:00,651318
99625288.0,177.9376,177.325,177.25,179.35,176.76,2023-05-31 00:00:00-04:00,669221
68901712.0,179.3796,177.7,180.09,180.12,176.9306,2023-06-01 00:00:00-04:00,624132
61996852.0,180.6479,181.03,180.95,181.78,179.26,2023-06-02 00:00:00-04:00,617235
121722517.0,182.1408,182.63,179.58,184.951,178.035,2023-06-05 00:00:00-04:00,1286180
64845314.0,178.7093,179.965,179.21,180.12,177.43,2023-06-06 00:00:00-04:00,705164
61944615.0,178.6619,178.44,177.82,181.21,177.32,2023-06-07 00:00:00-04:00,669062
50210681.0,179.5493,177.895,180.57,180.84,177.46,2023-06-08 00:00:00-04:00,548456
48869360.0,181.4395,181.5,180.96,182.23,180.63,2023-06-09 00:00:00-04:00,557894
54754995.0,182.836,181.27,183.79,183.89,180.97,2023-06-12 00:00:00-04:00,562058
54867129.0,183.1702,182.8,183.31,184.15,182.44,2023-06-13 00:00:00-04:00,608337
57462782.0,183.7101,183.37,183.95,184.39,182.02,2023-06-14 00:00:00-04:00,614097
65433166.0,185.5672,183.96,186.01,186.52,183.78,2023-06-15 00:00:00-04:00,697003
101151225.0,185.4644,186.73,184.92,186.99,184.27,2023-06-16 00:00:00-04:00,616272
49799092.0,185.2709,184.41,185.01,186.1,184.41,2023-06-20 00:00:00-04:00,577495
49515697.0,184.0809,184.9,183.96,185.41,182.5901,2023-06-21 00:00:00-04:00,520855
51245327.0,186.1166,183.74,187.0,187.045,183.67,2023-06-22 00:00:00-04:00,563076
53112346.0,186.4952,185.55,186.68,187.56,185.01,2023-06-23 00:00:00-04:00,539704
48088661.0,186.3292,186.83,185.27,188.05,185.23,2023-06-26 00:00:00-04:00,584497
50731499.0,187.4998,185.89,188.06,188.39,185.67,2023-06-27 00:00:00-04:00,511869
51216801.0,188.8916,187.93,189.25,189.9,187.6,2023-06-28 00:00:00-04:00,559145
46347308.0,189.5561,189.08,189.59,190.07,188.94,2023-06-29 00:00:00-04:00,525367
85068452.0,193.102,191.63,193.97,194.48,191.26,2023-06-30 00:00:00-04:00,774380
31458198.0,192.6624,193.78,192.46,193.88,191.76,2023-07-03 00:00:00-04:00,500175
46896861.0,191.5803,191.565,191.33,192.98,190.62,2023-07-05 00:00:00-04:00,560170
45155523.0,190.8214,189.84,191.81,192.02,189.2,2023-07-06 00:00:00-04:00,562755
46757498.0,191.4218,191.41,190.68,192.67,190.24,2023-07-07 00:00:00-04:00,538826
59912163.0,188.3628,189.26,188.61,189.99,187.035,2023-07-10 00:00:00-04:00,736912
46638119.0,187.8219,189.16,188.08,189.3,186.6,2023-07-11 00:00:00-04:00,577717
60750218.0,189.9586,189.68,189.77,191.7,188.47,2023-07-12 00:00:00-04:00,652126
41337338.0,190.565,190.5,190.54,191.19,189.78,2023-07-13 00:00:00-04:00,467952
41616242.0,190.4662,190.23,190.69,191.1799,189.63,2023-07-14 00:00:00-04:00,513233
50520159.0,193.2997,191.9,193.99,194.32,191.81,2023-07-17 00:00:00-04:00,602852
48153774.0,193.3846,193.35,193.73,194.33,192.415,2023-07-18 00:00:00-04:00,544605
80492323.0,194.9188,193.1,195.1,198.23,192.65,2023-07-19 00:00:00-04:00,776766
59581196.0,194.276,195.09,193.13,196.47,192.495,2023-07-20 00:00:00-04:00,639817
71451683.0,192.5948,194.1,191.94,194.97,191.23,2023-07-21 00:00:00-04:00,580360
45507451.0,193.2011,193.41,192.75,194.91,192.25,2023-07-24 00:00:00-04:00,525855
