Date,Open,High,Low,Close,Volume,Number of Trades
2022-12-27,131.38,131.41,128.72,130.03,69007830.0,608331
2022-12-28,129.67,131.0275,125.87,126.04,85438391.0,762246
2022-12-29,127.99,130.4814,127.73,129.61,75501810.0,598204
2022-12-30,128.41,129.95,127.43,129.93,76204209.0,592655
2023-01-03,130.28,130.9,124.17,125.07,112117471.0,1021065
2023-01-04,126.89,128.6557,125.08,126.36,89100633.0,770042
2023-01-05,127.13,127.77,124.76,125.02,80716808.0,665458
2023-01-06,126.01,130.29,124.89,129.62,87754715.0,711520
2023-01-09,130.465,133.41,129.89,130.15,70790813.0,645365
2023-01-10,130.26,131.2636,128.12,130.73,63896155.0,554940
2023-01-11,131.25,133.51,130.46,133.49,69458949.0,561278
2023-01-12,133.88,134.26,131.44,133.41,71379648.0,635331
2023-01-13,132.03,134.92,131.66,134.76,57809719.0,537385
2023-01-17,134.83,137.29,134.13,135.94,63612627.0,595831
2023-01-18,136.815,138.61,135.03,135.21,69672800.0,578304
2023-01-19,134.08,136.25,133.77,135.27,58280413.0,491674
2023-01-20,135.28,138.02,134.22,137.87,80200655.0,552230
2023-01-23,138.12,143.315,137.9,141.11,81760313.0,719288
2023-01-24,140.305,143.16,140.3,142.53,66435142.0,498679
2023-01-25,140.89,142.43,138.81,141.86,65799349.0,536505
2023-01-26,143.17,144.25,141.9,143.96,54105068.0,472135
2023-01-27,143.155,147.23,143.08,145.93,70547743.0,560022
2023-01-30,144.955,145.55,142.85,143.0,64015274.0,551111
2023-01-31,142.7,144.34,142.28,144.29,65874459.0,468170
2023-02-01,143.97,146.61,141.32,145.43,77663426.0,693374
2023-02-02,148.9,151.18,148.17,150.82,118338980.0,996203
2023-02-03,148.03,157.38,147.83,154.5,154338835.0,1141350
2023-02-06,152.575,153.1,150.78,151.73,69771906.0,583517
2023-02-07,150.64,155.23,150.64,154.65,83322551.0,661767
2023-02-08,153.88,154.58,151.168,151.92,63620079.0,524140
2023-02-09,153.775,154.33,150.42,150.87,55994243.0,471973
2023-02-10,149.46,151.3401,149.22,151.01,57388108.0,443405
2023-02-13,150.952,154.26,150.92,153.85,62199013.0,506668
2023-02-14,152.12,153.77,150.86,153.2,61664023.0,528566
2023-02-15,153.11,155.5,152.88,155.33,65665252.0,520574
